tag,step,value,wall_time
RecNet/train_loss,0,1.300167441368103,1771126784.6466162
RecNet/train_loss,1,0.5268445611000061,1771126802.786378
RecNet/train_loss,2,0.3856264054775238,1771126820.769619
RecNet/train_loss,3,0.2737519145011902,1771126838.3952084
RecNet/train_loss,4,0.2191610187292099,1771126856.6068676
RecNet/train_loss,5,0.1836269199848175,1771126876.7718625
RecNet/train_loss,6,0.16344638168811798,1771126895.1467943
RecNet/train_loss,7,0.14254389703273773,1771126913.3298135
RecNet/train_loss,8,0.1332826316356659,1771126929.7887292
RecNet/train_loss,9,0.12190796434879303,1771126947.5896113
RecNet/train_loss,10,0.11046827584505081,1771126967.5853965
RecNet/train_loss,11,0.11051633954048157,1771126985.862246
RecNet/train_loss,12,0.10040673613548279,1771127004.5729465
RecNet/train_loss,13,0.09149239957332611,1771127023.043563
RecNet/train_loss,14,0.08812196552753448,1771127041.865457
RecNet/train_loss,15,0.08744145929813385,1771127062.6423101
RecNet/train_loss,16,0.07895296066999435,1771127080.4898953
RecNet/train_loss,17,0.07515142112970352,1771127098.110855
RecNet/train_loss,18,0.072640061378479,1771127115.8153112
RecNet/train_loss,19,0.06985814869403839,1771127134.086833
RecNet/train_loss,20,0.06627234816551208,1771127154.6969259
RecNet/train_loss,21,0.062152743339538574,1771127172.6859417
RecNet/train_loss,22,0.05724033713340759,1771127190.6671362
RecNet/train_loss,23,0.06138123944401741,1771127207.8909523
RecNet/train_loss,24,0.05710221827030182,1771127224.9494119
RecNet/train_loss,25,0.05383233726024628,1771127245.10008
RecNet/train_loss,26,0.05094914883375168,1771127261.9510715
RecNet/train_loss,27,0.04813603684306145,1771127279.7238235
RecNet/train_loss,28,0.05128230154514313,1771127296.3734841
RecNet/train_loss,29,0.046399980783462524,1771127313.9445693
RecNet/train_loss,30,0.042554840445518494,1771127329.9832852
RecNet/train_loss,31,0.04365098476409912,1771127347.3049884
RecNet/train_loss,32,0.043691910803318024,1771127365.207735
RecNet/train_loss,33,0.036825668066740036,1771127382.6227386
RecNet/train_loss,34,0.03864718973636627,1771127400.4374442
RecNet/train_loss,35,0.04659830033779144,1771127420.0775542
RecNet/train_loss,36,0.040352582931518555,1771127437.3017216
RecNet/train_loss,37,0.03209151700139046,1771127454.9062977
RecNet/train_loss,38,0.030216827988624573,1771127472.5886219
RecNet/train_loss,39,0.04252943769097328,1771127490.6823714
RecNet/train_accuracy,0,86.1883316040039,1771126784.646653
RecNet/train_accuracy,1,94.77999877929688,1771126802.7864118
RecNet/train_accuracy,2,96.36000061035156,1771126820.7696512
RecNet/train_accuracy,3,97.44499969482422,1771126838.3952515
RecNet/train_accuracy,4,97.97166442871094,1771126856.6069016
RecNet/train_accuracy,5,98.29833221435547,1771126876.771888
RecNet/train_accuracy,6,98.46499633789062,1771126895.1468205
RecNet/train_accuracy,7,98.86166381835938,1771126913.3298404
RecNet/train_accuracy,8,98.91166687011719,1771126929.7887545
RecNet/train_accuracy,9,99.12000274658203,1771126947.589644
RecNet/train_accuracy,10,99.29833221435547,1771126967.5854216
RecNet/train_accuracy,11,99.1883316040039,1771126985.8622713
RecNet/train_accuracy,12,99.38333129882812,1771127004.572971
RecNet/train_accuracy,13,99.53333282470703,1771127023.0435894
RecNet/train_accuracy,14,99.5199966430664,1771127041.865484
RecNet/train_accuracy,15,99.48500061035156,1771127062.642335
RecNet/train_accuracy,16,99.63166809082031,1771127080.4899197
RecNet/train_accuracy,17,99.65166473388672,1771127098.1108859
RecNet/train_accuracy,18,99.65499877929688,1771127115.815344
RecNet/train_accuracy,19,99.69000244140625,1771127134.0868583
RecNet/train_accuracy,20,99.75,1771127154.6969497
RecNet/train_accuracy,21,99.77333068847656,1771127172.6859734
RecNet/train_accuracy,22,99.82833099365234,1771127190.6671612
RecNet/train_accuracy,23,99.68333435058594,1771127207.8909833
RecNet/train_accuracy,24,99.80000305175781,1771127224.9494436
RecNet/train_accuracy,25,99.83833312988281,1771127245.1001103
RecNet/train_accuracy,26,99.86000061035156,1771127261.9511042
RecNet/train_accuracy,27,99.86000061035156,1771127279.7238483
RecNet/train_accuracy,28,99.80000305175781,1771127296.3735085
RecNet/train_accuracy,29,99.86833190917969,1771127313.9445949
RecNet/train_accuracy,30,99.91166687011719,1771127329.98331
RecNet/train_accuracy,31,99.86000061035156,1771127347.3050134
RecNet/train_accuracy,32,99.87999725341797,1771127365.2077596
RecNet/train_accuracy,33,99.95333099365234,1771127382.6227639
RecNet/train_accuracy,34,99.88999938964844,1771127400.4374692
RecNet/train_accuracy,35,99.73666381835938,1771127420.0775793
RecNet/train_accuracy,36,99.87999725341797,1771127437.3017476
RecNet/train_accuracy,37,99.98666381835938,1771127454.9063218
RecNet/train_accuracy,38,99.97333526611328,1771127472.5886467
RecNet/train_accuracy,39,99.76000213623047,1771127490.6823971
RecNet/test_accuracy_epoch,4,0.974399983882904,1771126858.821259
RecNet/test_accuracy_epoch,9,0.982699990272522,1771126949.8988135
RecNet/test_accuracy_epoch,14,0.9837999939918518,1771127044.2072895
RecNet/test_accuracy_epoch,19,0.9829999804496765,1771127136.397295
RecNet/test_accuracy_epoch,24,0.9855999946594238,1771127227.2498965
RecNet/test_accuracy_epoch,29,0.9868999719619751,1771127316.2501743
RecNet/test_accuracy_epoch,34,0.9858999848365784,1771127402.7445931
RecNet/test_accuracy_epoch,39,0.9869999885559082,1771127493.0389974
RecNet/test_auc_epoch,4,0.9994285106658936,1771126858.8212848
RecNet/test_auc_epoch,9,0.9996404647827148,1771126949.8988361
RecNet/test_auc_epoch,14,0.9997038841247559,1771127044.2073095
RecNet/test_auc_epoch,19,0.999680757522583,1771127136.3973153
RecNet/test_auc_epoch,24,0.9998273253440857,1771127227.2499225
RecNet/test_auc_epoch,29,0.9998193383216858,1771127316.2501934
RecNet/test_auc_epoch,34,0.999804675579071,1771127402.7446125
RecNet/test_auc_epoch,39,0.99986332654953,1771127493.0390177
RecNet/test_accuracy,0,0.9869999885559082,1771127493.0392382
