tag,step,value,wall_time
RecNet/train_loss,0,1.5516375303268433,1771123001.3220766
RecNet/train_loss,1,0.5532726645469666,1771123017.9744656
RecNet/train_loss,2,0.41932156682014465,1771123035.795743
RecNet/train_loss,3,0.31699416041374207,1771123053.859477
RecNet/train_loss,4,0.24055138230323792,1771123072.3407528
RecNet/train_loss,5,0.18955905735492706,1771123092.092195
RecNet/train_loss,6,0.16253581643104553,1771123110.1721525
RecNet/train_loss,7,0.14213065803050995,1771123128.4125223
RecNet/train_loss,8,0.1309228241443634,1771123146.1641257
RecNet/train_loss,9,0.11851475387811661,1771123163.6776512
RecNet/train_loss,10,0.10819739103317261,1771123184.0405405
RecNet/train_loss,11,0.10146480053663254,1771123202.2933006
RecNet/train_loss,12,0.096572145819664,1771123220.2683613
RecNet/train_loss,13,0.09011758863925934,1771123238.2660353
RecNet/train_loss,14,0.08319679647684097,1771123256.589645
RecNet/train_loss,15,0.07991063594818115,1771123275.8652558
RecNet/train_loss,16,0.07961264252662659,1771123293.9466288
RecNet/train_loss,17,0.07243076711893082,1771123311.7986205
RecNet/train_loss,18,0.06957230716943741,1771123329.0604918
RecNet/train_loss,19,0.06544005870819092,1771123346.3778212
RecNet/train_loss,20,0.062370218336582184,1771123366.4280422
RecNet/train_loss,21,0.06381282955408096,1771123383.9542477
RecNet/train_loss,22,0.05453938618302345,1771123401.9980955
RecNet/train_loss,23,0.06045400723814964,1771123419.605163
RecNet/train_loss,24,0.05494169145822525,1771123437.6908245
RecNet/train_loss,25,0.04874787479639053,1771123457.8483796
RecNet/train_loss,26,0.04709838703274727,1771123475.5197575
RecNet/train_loss,27,0.046743400394916534,1771123493.2441404
RecNet/train_loss,28,0.04703919216990471,1771123510.3830974
RecNet/train_loss,29,0.04445575550198555,1771123528.2710955
RecNet/train_loss,30,0.04204992949962616,1771123548.2983303
RecNet/train_loss,31,0.04203850030899048,1771123566.5792906
RecNet/train_loss,32,0.039464887231588364,1771123583.6444604
RecNet/train_loss,33,0.03965676203370094,1771123601.7134025
RecNet/train_loss,34,0.037913963198661804,1771123619.5518415
RecNet/train_loss,35,0.03467854857444763,1771123639.0100915
RecNet/train_loss,36,0.04011087492108345,1771123657.2611396
