tag,step,value,wall_time
RecNet/train_loss,0,0.517660915851593,1771162022.1973932
RecNet/train_loss,1,0.4170292913913727,1771162037.709726
RecNet/train_loss,2,0.4027465581893921,1771162060.998027
RecNet/train_loss,3,0.3919418156147003,1771162080.4875822
RecNet/train_loss,4,0.37856096029281616,1771162104.0597796
RecNet/train_loss,5,0.36064696311950684,1771162126.3263845
RecNet/train_loss,6,0.3500056862831116,1771162136.3427866
RecNet/train_loss,7,0.3437283933162689,1771162162.087317
RecNet/train_loss,8,0.33907291293144226,1771162184.8537924
RecNet/train_loss,9,0.33538252115249634,1771162210.9215946
RecNet/train_loss,10,0.33315226435661316,1771162237.636698
RecNet/train_loss,11,0.3309064209461212,1771162261.9847584
RecNet/train_loss,12,0.3292525112628937,1771162289.2994795
RecNet/train_loss,13,0.3274964392185211,1771162314.3840573
RecNet/train_loss,14,0.32609057426452637,1771162340.0321062
RecNet/train_loss,15,0.3247843086719513,1771162365.275182
RecNet/train_loss,16,0.3234846889972687,1771162391.8796327
RecNet/train_loss,17,0.32286396622657776,1771162417.9576995
RecNet/train_loss,18,0.32237571477890015,1771162445.2986152
RecNet/train_loss,19,0.3219846189022064,1771162474.5440166
RecNet/train_loss,20,0.3216288685798645,1771162500.6672168
RecNet/train_loss,21,0.32086777687072754,1771162526.044952
RecNet/train_loss,22,0.3205581605434418,1771162552.0409958
RecNet/train_loss,23,0.31991344690322876,1771162579.113382
RecNet/train_loss,24,0.31907588243484497,1771162604.824236
RecNet/train_loss,25,0.3187071979045868,1771162659.4646332
RecNet/train_loss,26,0.31788164377212524,1771162730.3630538
RecNet/train_loss,27,0.3174540400505066,1771162806.2503383
RecNet/train_loss,28,0.3166228234767914,1771162901.087532
RecNet/train_loss,29,0.3160333037376404,1771162971.6750321
RecNet/train_loss,30,0.3155333995819092,1771163054.1291778
RecNet/train_loss,31,0.3148570954799652,1771163119.7310543
RecNet/train_loss,32,0.3143812119960785,1771163202.4437337
RecNet/train_loss,33,0.31401172280311584,1771163282.642724
