tag,step,value,wall_time
RecNet/train_loss,0,1.415425419807434,1771127529.3833134
RecNet/train_loss,1,0.5475156903266907,1771127546.7090518
RecNet/train_loss,2,0.4324216842651367,1771127564.6306581
RecNet/train_loss,3,0.3316802382469177,1771127582.2346113
RecNet/train_loss,4,0.2531929314136505,1771127600.319854
RecNet/train_loss,5,0.19799548387527466,1771127619.8725886
RecNet/train_loss,6,0.16170522570610046,1771127637.7532027
RecNet/train_loss,7,0.14018943905830383,1771127655.5101342
RecNet/train_loss,8,0.1270512342453003,1771127673.4701445
RecNet/train_loss,9,0.11384222656488419,1771127691.8838363
RecNet/train_loss,10,0.1040738970041275,1771127712.0410178
RecNet/train_loss,11,0.09586495161056519,1771127729.265466
RecNet/train_loss,12,0.09024349600076675,1771127747.1563506
RecNet/train_loss,13,0.08482036739587784,1771127764.3758488
RecNet/train_loss,14,0.08201538026332855,1771127782.379565
RecNet/train_loss,15,0.07374035567045212,1771127802.7446997
RecNet/train_loss,16,0.07223638147115707,1771127821.1380205
RecNet/train_loss,17,0.06725466251373291,1771127839.3955524
RecNet/train_loss,18,0.06651390343904495,1771127857.4670396
RecNet/train_loss,19,0.06507030874490738,1771127875.3467512
RecNet/train_loss,20,0.05924417823553085,1771127895.7726078
RecNet/train_loss,21,0.05485596880316734,1771127913.869748
RecNet/train_loss,22,0.05279285088181496,1771127931.3693378
RecNet/train_loss,23,0.05328941345214844,1771127949.4477777
RecNet/train_loss,24,0.05356581136584282,1771127967.7117581
RecNet/train_loss,25,0.04652802273631096,1771127987.2685065
RecNet/train_loss,26,0.046760641038417816,1771128003.9491575
RecNet/train_loss,27,0.04466487467288971,1771128021.9798195
RecNet/train_loss,28,0.04110964760184288,1771128040.5178695
RecNet/train_loss,29,0.04457912594079971,1771128058.626746
RecNet/train_loss,30,0.03896022588014603,1771128078.795035
RecNet/train_loss,31,0.03538639098405838,1771128096.2806947
RecNet/train_loss,32,0.04412104934453964,1771128113.6273983
RecNet/train_loss,33,0.03728758916258812,1771128131.4358306
RecNet/train_loss,34,0.02963072434067726,1771128149.3448174
RecNet/train_loss,35,0.04146404191851616,1771128166.9924889
RecNet/train_loss,36,0.0377231128513813,1771128184.403498
RecNet/train_loss,37,0.029965881258249283,1771128201.3373582
RecNet/train_loss,38,0.027263451367616653,1771128219.466126
RecNet/train_loss,39,0.033453818410634995,1771128236.5122712
RecNet/train_accuracy,0,85.16166687011719,1771127529.3833556
RecNet/train_accuracy,1,94.12666320800781,1771127546.7090826
RecNet/train_accuracy,2,95.94499969482422,1771127564.630687
RecNet/train_accuracy,3,96.88833618164062,1771127582.2346497
RecNet/train_accuracy,4,97.67500305175781,1771127600.3198786
RecNet/train_accuracy,5,98.22166442871094,1771127619.8726132
RecNet/train_accuracy,6,98.59500122070312,1771127637.753228
RecNet/train_accuracy,7,98.87666320800781,1771127655.5101597
RecNet/train_accuracy,8,98.98666381835938,1771127673.4701695
RecNet/train_accuracy,9,99.19833374023438,1771127691.8838608
RecNet/train_accuracy,10,99.26166534423828,1771127712.041042
RecNet/train_accuracy,11,99.4183349609375,1771127729.2654912
RecNet/train_accuracy,12,99.413330078125,1771127747.156375
RecNet/train_accuracy,13,99.51166534423828,1771127764.3758745
RecNet/train_accuracy,14,99.5183334350586,1771127782.3795898
RecNet/train_accuracy,15,99.66500091552734,1771127802.7447245
RecNet/train_accuracy,16,99.63833618164062,1771127821.1380448
RecNet/train_accuracy,17,99.73500061035156,1771127839.3955774
RecNet/train_accuracy,18,99.67666625976562,1771127857.467064
RecNet/train_accuracy,19,99.6883316040039,1771127875.3467755
RecNet/train_accuracy,20,99.76166534423828,1771127895.7726336
RecNet/train_accuracy,21,99.84500122070312,1771127913.8697734
RecNet/train_accuracy,22,99.82833099365234,1771127931.3693633
RecNet/train_accuracy,23,99.76667022705078,1771127949.447803
RecNet/train_accuracy,24,99.77333068847656,1771127967.7117827
RecNet/train_accuracy,25,99.87666320800781,1771127987.268531
RecNet/train_accuracy,26,99.85166931152344,1771128003.9491818
RecNet/train_accuracy,27,99.87333679199219,1771128021.979844
RecNet/train_accuracy,28,99.92666625976562,1771128040.5178938
RecNet/train_accuracy,29,99.8116683959961,1771128058.626771
RecNet/train_accuracy,30,99.91666412353516,1771128078.7950594
RecNet/train_accuracy,31,99.95166778564453,1771128096.2807188
RecNet/train_accuracy,32,99.72833251953125,1771128113.6274219
RecNet/train_accuracy,33,99.913330078125,1771128131.435856
RecNet/train_accuracy,34,99.99666595458984,1771128149.3448417
RecNet/train_accuracy,35,99.75499725341797,1771128166.9925132
RecNet/train_accuracy,36,99.87166595458984,1771128184.4035234
RecNet/train_accuracy,37,99.97666931152344,1771128201.3373835
RecNet/train_accuracy,38,99.98999786376953,1771128219.4661515
RecNet/train_accuracy,39,99.86333465576172,1771128236.5123036
RecNet/test_accuracy_epoch,4,0.9739999771118164,1771127602.5704796
RecNet/test_accuracy_epoch,9,0.9776999950408936,1771127694.2283986
RecNet/test_accuracy_epoch,14,0.9825999736785889,1771127784.70356
RecNet/test_accuracy_epoch,19,0.9851999878883362,1771127877.7068183
RecNet/test_accuracy_epoch,24,0.9851999878883362,1771127970.0708075
RecNet/test_accuracy_epoch,29,0.9876000285148621,1771128060.9775455
RecNet/test_accuracy_epoch,34,0.9897000193595886,1771128151.6816423
RecNet/test_accuracy_epoch,39,0.984000027179718,1771128238.8424437
RecNet/test_auc_epoch,4,0.9995248913764954,1771127602.570504
RecNet/test_auc_epoch,9,0.9995699524879456,1771127694.2284179
RecNet/test_auc_epoch,14,0.9996813535690308,1771127784.7035787
RecNet/test_auc_epoch,19,0.9997945427894592,1771127877.7068377
RecNet/test_auc_epoch,24,0.9997961521148682,1771127970.0708275
RecNet/test_auc_epoch,29,0.9998469352722168,1771128060.9775648
RecNet/test_auc_epoch,34,0.9999014735221863,1771128151.6816611
RecNet/test_auc_epoch,39,0.9997388124465942,1771128238.8424633
RecNet/test_accuracy,0,0.984000027179718,1771128238.8426843
