tag,step,value,wall_time
RecNet/train_loss,0,1.282025933265686,1771123747.004332
RecNet/train_loss,1,0.4688883423805237,1771123762.1016855
RecNet/train_loss,2,0.37237852811813354,1771123778.5320907
RecNet/train_loss,3,0.27300041913986206,1771123796.025362
RecNet/train_loss,4,0.20473463833332062,1771123813.791786
RecNet/train_loss,5,0.1714315265417099,1771123832.6689448
RecNet/train_loss,6,0.1453220397233963,1771123850.493643
RecNet/train_loss,7,0.13339075446128845,1771123868.3727956
RecNet/train_loss,8,0.1205168217420578,1771123886.6426673
RecNet/train_loss,9,0.11024737358093262,1771123904.8768961
RecNet/train_loss,10,0.1045529767870903,1771123924.846185
RecNet/train_loss,11,0.10085894912481308,1771123942.4414752
RecNet/train_loss,12,0.09107239544391632,1771123959.756558
RecNet/train_loss,13,0.08528121560811996,1771123977.7735786
RecNet/train_loss,14,0.08328133821487427,1771123995.8886414
RecNet/train_loss,15,0.07783044129610062,1771124015.6845133
RecNet/train_loss,16,0.07217250764369965,1771124032.9903114
RecNet/train_loss,17,0.07163681834936142,1771124051.2126935
RecNet/train_loss,18,0.06797577440738678,1771124069.021231
RecNet/train_loss,19,0.06545302271842957,1771124086.7971492
RecNet/train_loss,20,0.06143556907773018,1771124106.72177
RecNet/train_loss,21,0.0579838827252388,1771124125.0703921
RecNet/train_loss,22,0.056506164371967316,1771124143.6457272
RecNet/train_loss,23,0.05745413899421692,1771124160.6661344
RecNet/train_loss,24,0.04912414029240608,1771124178.6336231
RecNet/train_loss,25,0.050299178808927536,1771124199.1085463
RecNet/train_loss,26,0.05286531522870064,1771124216.7379978
RecNet/train_loss,27,0.04799266532063484,1771124234.7099812
RecNet/train_loss,28,0.04182227700948715,1771124251.8879452
RecNet/train_loss,29,0.041873447597026825,1771124267.4415426
RecNet/train_loss,30,0.0465010330080986,1771124286.7451794
RecNet/train_loss,31,0.038255877792835236,1771124304.367771
RecNet/train_loss,32,0.039327990263700485,1771124322.3145928
RecNet/train_loss,33,0.03684428334236145,1771124340.1955013
RecNet/train_loss,34,0.0381552055478096,1771124357.701522
RecNet/train_loss,35,0.03696640580892563,1771124375.8806992
RecNet/train_loss,36,0.035645995289087296,1771124392.867304
RecNet/train_loss,37,0.035267967730760574,1771124409.637792
RecNet/train_loss,38,0.031424324959516525,1771124426.780837
RecNet/train_loss,39,0.029674608260393143,1771124445.3164768
RecNet/train_accuracy,0,86.67666625976562,1771123747.004366
RecNet/train_accuracy,1,96.07666778564453,1771123762.1017158
RecNet/train_accuracy,2,97.11000061035156,1771123778.5321195
RecNet/train_accuracy,3,97.72166442871094,1771123796.0253978
RecNet/train_accuracy,4,98.288330078125,1771123813.7918103
RecNet/train_accuracy,5,98.63333129882812,1771123832.6689684
RecNet/train_accuracy,6,98.91166687011719,1771123850.493667
RecNet/train_accuracy,7,99.02999877929688,1771123868.3728201
RecNet/train_accuracy,8,99.2066650390625,1771123886.6426916
RecNet/train_accuracy,9,99.3316650390625,1771123904.87692
RecNet/train_accuracy,10,99.37999725341797,1771123924.8462093
RecNet/train_accuracy,11,99.40499877929688,1771123942.4414995
RecNet/train_accuracy,12,99.55166625976562,1771123959.75659
RecNet/train_accuracy,13,99.59500122070312,1771123977.7736034
RecNet/train_accuracy,14,99.61000061035156,1771123995.8886664
RecNet/train_accuracy,15,99.67833709716797,1771124015.6845374
RecNet/train_accuracy,16,99.74333190917969,1771124032.9903355
RecNet/train_accuracy,17,99.6933364868164,1771124051.212718
RecNet/train_accuracy,18,99.73500061035156,1771124069.0212555
RecNet/train_accuracy,19,99.74666595458984,1771124086.7971733
RecNet/train_accuracy,20,99.80999755859375,1771124106.721794
RecNet/train_accuracy,21,99.8499984741211,1771124125.0704162
RecNet/train_accuracy,22,99.7933349609375,1771124143.6457512
RecNet/train_accuracy,23,99.7933349609375,1771124160.66616
RecNet/train_accuracy,24,99.87833404541016,1771124178.6336477
RecNet/train_accuracy,25,99.8499984741211,1771124199.1085696
RecNet/train_accuracy,26,99.7750015258789,1771124216.7380219
RecNet/train_accuracy,27,99.84500122070312,1771124234.7100055
RecNet/train_accuracy,28,99.9383316040039,1771124251.8879695
RecNet/train_accuracy,29,99.88999938964844,1771124267.4415667
RecNet/train_accuracy,30,99.80500030517578,1771124286.7452035
RecNet/train_accuracy,31,99.94833374023438,1771124304.3677943
RecNet/train_accuracy,32,99.88833618164062,1771124322.314617
RecNet/train_accuracy,33,99.90833282470703,1771124340.1955261
RecNet/train_accuracy,34,99.88500213623047,1771124357.7015467
RecNet/train_accuracy,35,99.90499877929688,1771124375.8807237
RecNet/train_accuracy,36,99.91500091552734,1771124392.8673277
RecNet/train_accuracy,37,99.91999816894531,1771124409.637816
RecNet/train_accuracy,38,99.96333312988281,1771124426.780861
RecNet/train_accuracy,39,99.97333526611328,1771124445.31651
RecNet/test_accuracy_epoch,4,0.9833999872207642,1771123815.970183
RecNet/test_accuracy_epoch,9,0.9850000143051147,1771123907.2082067
RecNet/test_accuracy_epoch,14,0.9865999817848206,1771123998.1753435
RecNet/test_accuracy_epoch,19,0.9861999750137329,1771124089.1188986
RecNet/test_accuracy_epoch,24,0.9868999719619751,1771124180.9262574
RecNet/test_accuracy_epoch,29,0.9876999855041504,1771124269.7421622
RecNet/test_accuracy_epoch,34,0.9883999824523926,1771124359.9781566
RecNet/test_accuracy_epoch,39,0.9891999959945679,1771124447.6511369
RecNet/test_auc_epoch,4,0.9997204542160034,1771123815.970203
RecNet/test_auc_epoch,9,0.9997909665107727,1771123907.2082262
