tag,step,value,wall_time
RecNet/train_loss,0,1.8830054998397827,1771130228.6246562
RecNet/train_loss,1,1.134020447731018,1771130243.992903
RecNet/train_loss,2,1.0111995935440063,1771130260.2200277
RecNet/train_loss,3,0.9157162308692932,1771130275.0803483
RecNet/train_loss,4,0.8370277285575867,1771130290.2245548
RecNet/train_loss,5,0.7650719881057739,1771130307.1416085
RecNet/train_loss,6,0.6991269588470459,1771130323.3095753
RecNet/train_loss,7,0.6435731649398804,1771130338.2598028
RecNet/train_loss,8,0.6017017960548401,1771130353.572938
RecNet/train_loss,9,0.5641836524009705,1771130368.6904368
RecNet/train_loss,10,0.5347349643707275,1771130382.5093312
RecNet/train_loss,11,0.5099485516548157,1771130398.3269458
RecNet/train_loss,12,0.48562878370285034,1771130413.7058825
RecNet/train_loss,13,0.4671121835708618,1771130428.0981991
RecNet/train_loss,14,0.450682669878006,1771130444.132898
RecNet/train_loss,15,0.43242979049682617,1771130460.1783783
RecNet/train_loss,16,0.42094457149505615,1771130476.673912
RecNet/train_loss,17,0.40644198656082153,1771130487.9478598
RecNet/train_loss,18,0.3928244113922119,1771130504.2210395
RecNet/train_loss,19,0.3799293339252472,1771130520.5491922
RecNet/train_loss,20,0.3690717816352844,1771130536.175606
RecNet/train_loss,21,0.3562327027320862,1771130552.1360238
RecNet/train_loss,22,0.3449247181415558,1771130567.7899761
RecNet/train_loss,23,0.3342331647872925,1771130583.863859
RecNet/train_loss,24,0.3233260214328766,1771130600.1319768
RecNet/train_loss,25,0.3121240437030792,1771130616.070481
RecNet/train_loss,26,0.30317413806915283,1771130631.563421
RecNet/train_loss,27,0.29116931557655334,1771130647.086441
RecNet/train_loss,28,0.28643426299095154,1771130662.595644
RecNet/train_loss,29,0.2746196687221527,1771130678.7024078
RecNet/train_loss,30,0.2648504376411438,1771130695.4247234
RecNet/train_loss,31,0.2550177276134491,1771130711.2069054
RecNet/train_loss,32,0.24898624420166016,1771130727.090185
RecNet/train_loss,33,0.23913633823394775,1771130742.2437322
RecNet/train_loss,34,0.23623956739902496,1771130758.6010325
RecNet/train_loss,35,0.22216534614562988,1771130774.7005854
RecNet/train_loss,36,0.21920929849147797,1771130790.95727
RecNet/train_loss,37,0.21103911101818085,1771130806.7786243
RecNet/train_loss,38,0.20350731909275055,1771130823.237188
RecNet/train_loss,39,0.19647060334682465,1771130839.648295
RecNet/train_accuracy,0,56.78467559814453,1771130228.6246908
RecNet/train_accuracy,1,65.61650085449219,1771130243.9929383
RecNet/train_accuracy,2,70.06575775146484,1771130260.2200613
RecNet/train_accuracy,3,72.85102844238281,1771130275.0803893
RecNet/train_accuracy,4,75.05257415771484,1771130290.224581
RecNet/train_accuracy,5,76.96174621582031,1771130307.1416438
RecNet/train_accuracy,6,78.98068237304688,1771130323.3096042
RecNet/train_accuracy,7,80.64056396484375,1771130338.2598486
RecNet/train_accuracy,8,81.76390075683594,1771130353.5729818
RecNet/train_accuracy,9,82.80209350585938,1771130368.6904812
RecNet/train_accuracy,10,83.75103759765625,1771130382.509358
RecNet/train_accuracy,11,84.41786193847656,1771130398.3269722
RecNet/train_accuracy,12,85.18522644042969,1771130413.705912
RecNet/train_accuracy,13,85.68585205078125,1771130428.0982256
RecNet/train_accuracy,14,86.2121353149414,1771130444.1329286
RecNet/train_accuracy,15,86.86151885986328,1771130460.178411
RecNet/train_accuracy,16,87.22775268554688,1771130476.673942
RecNet/train_accuracy,17,87.66068267822266,1771130487.9479024
RecNet/train_accuracy,18,88.0535888671875,1771130504.22107
RecNet/train_accuracy,19,88.44239807128906,1771130520.549222
RecNet/train_accuracy,20,89.01689910888672,1771130536.17565
RecNet/train_accuracy,21,89.39134216308594,1771130552.136052
RecNet/train_accuracy,22,89.8232421875,1771130567.7900152
RecNet/train_accuracy,23,90.03252410888672,1771130583.8638895
RecNet/train_accuracy,24,90.4449234008789,1771130600.1320055
RecNet/train_accuracy,25,90.80809020996094,1771130616.0705087
RecNet/train_accuracy,26,91.22357177734375,1771130631.5634615
RecNet/train_accuracy,27,91.63084411621094,1771130647.0864668
RecNet/train_accuracy,28,91.73445892333984,1771130662.5956786
RecNet/train_accuracy,29,92.20944213867188,1771130678.7024355
RecNet/train_accuracy,30,92.51310729980469,1771130695.424751
RecNet/train_accuracy,31,92.875244140625,1771130711.2069309
RecNet/train_accuracy,32,93.11222076416016,1771130727.090213
RecNet/train_accuracy,33,93.494873046875,1771130742.2437606
RecNet/train_accuracy,34,93.57079315185547,1771130758.60106
RecNet/train_accuracy,35,94.09912109375,1771130774.700614
RecNet/train_accuracy,36,94.2417221069336,1771130790.9572997
RecNet/train_accuracy,37,94.58128356933594,1771130806.778664
RecNet/train_accuracy,38,94.77517700195312,1771130823.237215
RecNet/train_accuracy,39,95.12808227539062,1771130839.648323
RecNet/test_accuracy_epoch,4,0.5189999938011169,1771130290.6643016
RecNet/test_accuracy_epoch,9,0.5630000233650208,1771130369.0706751
RecNet/test_accuracy_epoch,14,0.5889999866485596,1771130444.5112898
RecNet/test_accuracy_epoch,19,0.6399999856948853,1771130520.9253204
RecNet/test_accuracy_epoch,24,0.6079999804496765,1771130600.5076416
RecNet/test_accuracy_epoch,29,0.6230000257492065,1771130679.2814972
RecNet/test_accuracy_epoch,34,0.6389999985694885,1771130758.9807422
RecNet/test_accuracy_epoch,39,0.6359999775886536,1771130840.0269055
RecNet/test_auc_epoch,4,0.8178359866142273,1771130290.6643224
RecNet/test_auc_epoch,9,0.881986677646637,1771130369.0706952
RecNet/test_auc_epoch,14,0.8899000287055969,1771130444.5113094
RecNet/test_auc_epoch,19,0.8896413445472717,1771130520.9253404
RecNet/test_auc_epoch,24,0.8837146759033203,1771130600.5076625
RecNet/test_auc_epoch,29,0.8732100129127502,1771130679.2815173
RecNet/test_auc_epoch,34,0.8787180185317993,1771130758.980762
RecNet/test_auc_epoch,39,0.8779553174972534,1771130840.0269256
RecNet/test_accuracy,0,0.6359999775886536,1771130840.027061
