tag,step,value,wall_time
RecNet/train_loss,0,1.2433297634124756,1771130875.2089012
RecNet/train_loss,1,0.9447671175003052,1771130891.0812392
RecNet/train_loss,2,0.8327361941337585,1771130907.5021722
RecNet/train_loss,3,0.7590487599372864,1771130922.822206
RecNet/train_loss,4,0.7008513808250427,1771130938.6433523
RecNet/train_loss,5,0.6444923281669617,1771130955.0932243
RecNet/train_loss,6,0.5924955606460571,1771130971.4267633
RecNet/train_loss,7,0.5504039525985718,1771130987.09848
RecNet/train_loss,8,0.5111052989959717,1771131003.0887
RecNet/train_loss,9,0.4826790690422058,1771131019.452966
RecNet/train_loss,10,0.4582788944244385,1771131036.4192352
RecNet/train_loss,11,0.43617555499076843,1771131052.8765173
RecNet/train_loss,12,0.4174829423427582,1771131068.9266307
RecNet/train_loss,13,0.40116485953330994,1771131085.3513548
RecNet/train_loss,14,0.38584667444229126,1771131101.5618382
RecNet/train_loss,15,0.3734506368637085,1771131117.9653373
RecNet/train_loss,16,0.36014634370803833,1771131134.2344913
RecNet/train_loss,17,0.346323162317276,1771131150.6644905
RecNet/train_loss,18,0.3326667845249176,1771131167.276409
RecNet/train_loss,19,0.32441702485084534,1771131182.4284427
RecNet/train_loss,20,0.309183269739151,1771131198.694294
RecNet/train_loss,21,0.3014402389526367,1771131215.1467998
RecNet/train_loss,22,0.2927807569503784,1771131229.6259825
RecNet/train_loss,23,0.2814713418483734,1771131245.3386052
RecNet/train_loss,24,0.2691705524921417,1771131260.7182503
RecNet/train_loss,25,0.2624640464782715,1771131273.8667252
RecNet/train_loss,26,0.25168630480766296,1771131290.2603326
RecNet/train_loss,27,0.24436795711517334,1771131305.6232777
RecNet/train_loss,28,0.23567329347133636,1771131321.3643053
RecNet/train_loss,29,0.22758248448371887,1771131337.6411753
RecNet/train_loss,30,0.2182188332080841,1771131354.118275
RecNet/train_loss,31,0.21265096962451935,1771131369.9865797
RecNet/train_loss,32,0.2076958417892456,1771131386.0732408
RecNet/train_loss,33,0.20135265588760376,1771131402.1984363
RecNet/train_loss,34,0.1920035034418106,1771131418.3703482
RecNet/train_loss,35,0.1871860772371292,1771131435.0300639
RecNet/train_loss,36,0.17856864631175995,1771131451.1882973
RecNet/train_loss,37,0.17425480484962463,1771131467.6558807
