tag,step,value,wall_time
RecNet/train_loss,0,1.4190315008163452,1771133403.318898
RecNet/train_loss,1,1.0924850702285767,1771133417.6529028
RecNet/train_loss,2,0.9588246941566467,1771133433.6670763
RecNet/train_loss,3,0.8284777402877808,1771133449.3266296
RecNet/train_loss,4,0.7573911547660828,1771133464.657429
RecNet/train_loss,5,0.6861581802368164,1771133480.7906063
RecNet/train_loss,6,0.6353758573532104,1771133496.4035845
RecNet/train_loss,7,0.5952672958374023,1771133510.95516
RecNet/train_loss,8,0.5642572045326233,1771133526.244712
RecNet/train_loss,9,0.5332507491111755,1771133541.4861424
RecNet/train_loss,10,0.5093119740486145,1771133557.5033998
RecNet/train_loss,11,0.4883352518081665,1771133573.429079
RecNet/train_loss,12,0.4678925573825836,1771133588.7899547
RecNet/train_loss,13,0.4475117027759552,1771133603.8474512
RecNet/train_loss,14,0.43126997351646423,1771133619.316099
RecNet/train_loss,15,0.41724568605422974,1771133635.186256
RecNet/train_loss,16,0.40295541286468506,1771133650.5920753
RecNet/train_loss,17,0.3901752233505249,1771133666.3865652
RecNet/train_loss,18,0.3733143210411072,1771133681.9244006
RecNet/train_loss,19,0.3630189597606659,1771133697.3269563
RecNet/train_loss,20,0.35178062319755554,1771133712.8975735
RecNet/train_loss,21,0.3385116457939148,1771133728.4313169
RecNet/train_loss,22,0.32847046852111816,1771133743.9702454
RecNet/train_loss,23,0.3155026137828827,1771133758.9724762
RecNet/train_loss,24,0.30386093258857727,1771133773.105242
RecNet/train_loss,25,0.2944241166114807,1771133788.2488759
RecNet/train_loss,26,0.28737518191337585,1771133803.68544
RecNet/train_loss,27,0.27621176838874817,1771133819.4373705
RecNet/train_loss,28,0.2652239501476288,1771133835.34136
RecNet/train_loss,29,0.25598427653312683,1771133851.0031323
RecNet/train_loss,30,0.24527136981487274,1771133866.6282883
RecNet/train_loss,31,0.2390134036540985,1771133881.9343085
RecNet/train_loss,32,0.23095771670341492,1771133896.9550772
RecNet/train_loss,33,0.22349782288074493,1771133912.487203
RecNet/train_loss,34,0.21563762426376343,1771133927.3921764
RecNet/train_loss,35,0.2097214311361313,1771133943.5462508
RecNet/train_loss,36,0.20194026827812195,1771133959.574892
RecNet/train_loss,37,0.19271984696388245,1771133975.6150682
RecNet/train_loss,38,0.1908126324415207,1771133990.8866427
RecNet/train_loss,39,0.18619143962860107,1771134005.8324773
RecNet/train_accuracy,0,60.871795654296875,1771133403.3189332
RecNet/train_accuracy,1,69.271728515625,1771133417.6529524
RecNet/train_accuracy,2,74.04310607910156,1771133433.6671247
RecNet/train_accuracy,3,78.07072448730469,1771133449.326685
RecNet/train_accuracy,4,79.37667083740234,1771133464.6574593
RecNet/train_accuracy,5,80.69698333740234,1771133480.790634
RecNet/train_accuracy,6,81.65926361083984,1771133496.4036272
RecNet/train_accuracy,7,82.48920440673828,1771133510.9551845
RecNet/train_accuracy,8,83.10165405273438,1771133526.2447379
RecNet/train_accuracy,9,83.89158630371094,1771133541.486168
RecNet/train_accuracy,10,84.5389175415039,1771133557.5034242
RecNet/train_accuracy,11,85.13392639160156,1771133573.429109
RecNet/train_accuracy,12,85.75663757324219,1771133588.7899973
RecNet/train_accuracy,13,86.38653564453125,1771133603.8474765
RecNet/train_accuracy,14,86.86357116699219,1771133619.316127
RecNet/train_accuracy,15,87.21441650390625,1771133635.1862974
RecNet/train_accuracy,16,87.74480438232422,1771133650.592117
RecNet/train_accuracy,17,88.19003295898438,1771133666.3866065
RecNet/train_accuracy,18,88.74504089355469,1771133681.9244447
RecNet/train_accuracy,19,89.11332702636719,1771133697.3269997
RecNet/train_accuracy,20,89.44263458251953,1771133712.8976057
RecNet/train_accuracy,21,89.97711944580078,1771133728.4313412
RecNet/train_accuracy,22,90.35054779052734,1771133743.9702702
RecNet/train_accuracy,23,90.7957763671875,1771133758.9725053
RecNet/train_accuracy,24,91.14252471923828,1771133773.1052787
RecNet/train_accuracy,25,91.5138931274414,1771133788.2489042
RecNet/train_accuracy,26,91.79601287841797,1771133803.6854656
RecNet/train_accuracy,27,92.1766128540039,1771133819.4374099
RecNet/train_accuracy,28,92.55516815185547,1771133835.3413947
RecNet/train_accuracy,29,92.93987274169922,1771133851.003165
RecNet/train_accuracy,30,93.3276596069336,1771133866.6283314
RecNet/train_accuracy,31,93.5410385131836,1771133881.934341
RecNet/train_accuracy,32,93.85906219482422,1771133896.9551015
RecNet/train_accuracy,33,94.17606353759766,1771133912.4872272
RecNet/train_accuracy,34,94.49613952636719,1771133927.3922057
RecNet/train_accuracy,35,94.68695068359375,1771133943.5462794
RecNet/train_accuracy,36,95.01728820800781,1771133959.574917
RecNet/train_accuracy,37,95.29427337646484,1771133975.6150928
RecNet/train_accuracy,38,95.35684967041016,1771133990.88667
RecNet/train_accuracy,39,95.6328125,1771134005.8325043
RecNet/test_accuracy_epoch,4,0.621999979019165,1771133465.1343
RecNet/test_accuracy_epoch,9,0.6349999904632568,1771133541.8677688
RecNet/test_accuracy_epoch,14,0.6480000019073486,1771133619.6940055
RecNet/test_accuracy_epoch,19,0.6320000290870667,1771133697.7102578
RecNet/test_accuracy_epoch,24,0.6439999938011169,1771133773.488661
RecNet/test_accuracy_epoch,29,0.6309999823570251,1771133851.5874221
RecNet/test_accuracy_epoch,34,0.652999997138977,1771133927.7684739
RecNet/test_accuracy_epoch,39,0.6460000276565552,1771134006.2128453
RecNet/test_auc_epoch,4,0.8781173229217529,1771133465.1343195
RecNet/test_auc_epoch,9,0.8936920166015625,1771133541.8677886
RecNet/test_auc_epoch,14,0.9060333371162415,1771133619.6940246
RecNet/test_auc_epoch,19,0.8933280110359192,1771133697.7102773
RecNet/test_auc_epoch,24,0.8778133392333984,1771133773.4886825
RecNet/test_auc_epoch,29,0.8652039766311646,1771133851.5874453
RecNet/test_auc_epoch,34,0.8693326711654663,1771133927.7684948
RecNet/test_auc_epoch,39,0.8689479827880859,1771134006.2128656
RecNet/test_accuracy,0,0.6460000276565552,1771134006.213006
