dataset,train_accuracy_mean,train_accuracy_std,test_accuracy_mean,test_accuracy_std,test_auc_mean,test_auc_std
mnist,99.87466735839844,0.0865631659077376,0.9874900043010711,0.0018217736764278285,0.9998528182506561,5.024615732349807e-05
octmnist,95.86722946166992,0.6429635482338991,0.6334000051021575,0.009991993066556066,0.8719773292541504,0.007562794784067909
